word1	word2	label	label_idx
shirted	unshirted	Antonym	0
idiomatic	unidiomatic	Antonym	0
impede	expede	Antonym	0
never	constantly	Antonym	0
peak hour	off hours	Antonym	0
moral high ground	moral low ground	Antonym	0
height	depth	Antonym	0
deniggerization	niggerization	Antonym	0
paste	copy	Antonym	0
anger	sweetness	Antonym	0
city	suburb	Antonym	0
disuniate	uniate	Antonym	0
ill boding	auspicious	Antonym	0
defunction	birth	Antonym	0
animate	static	Antonym	0
service	good	Antonym	0
inflow	outflow	Antonym	0
abstraction	concretization	Antonym	0
gentle	hard	Antonym	0
last	fall apart	Antonym	0
disposable	non disposable	Antonym	0
writing	scribbling	Antonym	0
zip down	zip up	Antonym	0
sudden	gradual	Antonym	0
shy	bold	Antonym	0
undraw	draw	Antonym	0
even	numbers	Antonym	0
explain	ask	Antonym	0
underhedged	overhedged	Antonym	0
reinforced	unreinforced	Antonym	0
corded	cordless	Antonym	0
joy	sorrow	Antonym	0
detectable	undetectable	Antonym	0
superpackage	subpackage	Antonym	0
patiently	macrophobically	Antonym	0
lvalue	rvalue	Antonym	0
exoterica	esoterica	Antonym	0
gettable	ungettable	Antonym	0
unscorable	scorable	Antonym	0
tiresome	energizing	Antonym	0
misuse	use	Antonym	0
accept	deny	Antonym	0
open	closed	Antonym	0
overarm	underarm	Antonym	0
sedentary	migratory	Antonym	0
uncombinable	indivisible	Antonym	0
question	answer	Antonym	0
prowhite	antiwhite	Antonym	0
any	specific	Antonym	0
assortative mating	disassortative mating	Antonym	0
monosemy	polysemy	Antonym	0
generosity	stinginess	Antonym	0
debt	profit	Antonym	0
burn	cool	Antonym	0
enforceable	unenforceable	Antonym	0
posttheater	pretheater	Antonym	0
civilized	uncivilized	Antonym	0
midterm	final	Antonym	0
direct	round	Antonym	0
lower respiratory tract	upper respiratory tract	Antonym	0
captain	peon	Antonym	0
bleak	happy	Antonym	0
fruitful	fruitless	Antonym	0
cookie	cake	Antonym	0
heartlander	cosmopolitan	Antonym	0
septentrional	austral	Antonym	0
numerical	non numerical	Antonym	0
cry	laughing	Antonym	0
extramaze	intramaze	Antonym	0
dead drop	live drop	Antonym	0
violable	inviolable	Antonym	0
dim	lit	Antonym	0
foreign	domestic	Antonym	0
believe	doubt	Antonym	0
perfect	flaws	Antonym	0
cross	happy	Antonym	0
joy	time	Antonym	0
in particular	in general	Antonym	0
extravagance	economize	Antonym	0
disappoint	satisfy	Antonym	0
thumbs up	thumbs down	Antonym	0
mailman	mailwoman	Antonym	0
uneath	easy	Antonym	0
untreated	treated	Antonym	0
eurytherm	stenotherm	Antonym	0
wash	being dirty	Antonym	0
tribalize	detribalize	Antonym	0
thunder	silence	Antonym	0
countrify	citify	Antonym	0
uncleanliness	cleanliness	Antonym	0
performer	spectator	Antonym	0
micron	macron	Antonym	0
base	admirable	Antonym	0
shopper	shoplifter	Antonym	0
elect	reprobate	Antonym	0
agile	unagile	Antonym	0
boat	ship	Antonym	0
cake	ice	Antonym	0
apolune	perilune	Antonym	0
make	destroy	Antonym	0
stoic	emotional	Antonym	0
maturity	immaturity	Antonym	0
daytime	night	Antonym	0
mean	kindness	Antonym	0
in whisper	aloud	Antonym	0
emphasize	downplay	Antonym	0
seemliness	unseemliness	Antonym	0
static memory allocation	dynamic memory allocation	Antonym	0
fasiq	mu'min	Antonym	0
implosion	explosion	Antonym	0
mediocre	excellent	Antonym	0
infernal	heavenly	Antonym	0
catastrophist	gradualist	Antonym	0
leaders	wheelers	Antonym	0
paraphilic	normophilic	Antonym	0
inhumane	humane	Antonym	0
debrine	salt	Antonym	0
crown	scepter	Antonym	0
faultful	faultless	Antonym	0
boreas	southerly	Antonym	0
respect	disrespect	Antonym	0
shake	stir	Antonym	0
hand	body	Antonym	0
untruthful	true	Antonym	0
nearsightedness	hyperopia	Antonym	0
enough	lacking	Antonym	0
sharpen	blur	Antonym	0
morning	nighttime	Antonym	0
have	desire	Antonym	0
deficiency	excess	Antonym	0
repeat	do once	Antonym	0
each	single one	Antonym	0
stop up	stop down	Antonym	0
compress	uncompress	Antonym	0
noncytological	cytological	Antonym	0
hoard	declutter	Antonym	0
overdog	underdog	Antonym	0
man	husband	Antonym	0
dab	doog	Antonym	0
global cooling	global warming	Antonym	0
moonlit	moonless	Antonym	0
ruralisation	deruralisation	Antonym	0
laughter	crying	Antonym	0
long lived	short lived	Antonym	0
radical	ignorable	Antonym	0
shade	sunny	Antonym	0
wash	making	Antonym	0
retrograde	direct	Antonym	0
shade	sunny place	Antonym	0
off radar	on radar	Antonym	0
bad	propitious	Antonym	0
headquarters	branch	Antonym	0
incontinent	continent	Antonym	0
negative edge	positive edge	Antonym	0
cloud	blue sky	Antonym	0
static typing	dynamic typing	Antonym	0
arise	fall	Antonym	0
sinless	sinful	Antonym	0
daytime	nighttime	Antonym	0
person	together	Antonym	0
thunder	lightening	Antonym	0
sickness	healthy	Antonym	0
sitophobia	sitomania	Antonym	0
customer	salesman	Antonym	0
law of noncontradiction	dialetheism	Antonym	0
makeover	makeunder	Antonym	0
phototransparency	photodensity	Antonym	0
abideable	unbearable	Antonym	0
steamer	fryer	Antonym	0
veracious	untrue	Antonym	0
hopeless	hopeful	Antonym	0
outdoor	indoor	Antonym	0
look	ignore	Antonym	0
ivory	ebony	Antonym	0
penetrable	impenetrable	Antonym	0
control	free	Antonym	0
macrocosm	microcosm	Antonym	0
loosely	tightly	Antonym	0
mindful	seat of pants	Antonym	0
dysnatremic	eunatremic	Antonym	0
perfective	imperfective	Antonym	0
worker	boss	Antonym	0
dequeue	enqueue	Antonym	0
insert	delete	Antonym	0
overriding	overloading	Antonym	0
smart bomb	iron bomb	Antonym	0
ruralisation	urbanisation	Antonym	0
murder	self	Antonym	0
narrowness	wideness	Antonym	0
contemptible	respectable	Antonym	0
eternity	sempiternity	Antonym	0
swaggering	mincing	Antonym	0
cold	heat	Antonym	0
hyperperfusion	hypoperfusion	Antonym	0
new	old	Antonym	0
newtonian fluid	non newtonian fluid	Antonym	0
occidental	oriental	Antonym	0
prepubescent	postpubescent	Antonym	0
again	trying	Antonym	0
arise	down	Antonym	0
effort	slacking	Antonym	0
face	mouth	Antonym	0
abductor	abductee	Antonym	0
liberator	oppressor	Antonym	0
motion	stopped	Antonym	0
regress	progress	Antonym	0
autocentrism	allocentrism	Antonym	0
answer	problem	Antonym	0
readable	illegible	Antonym	0
despeciation	speciation	Antonym	0
recent	old	Antonym	0
call	hang up	Antonym	0
downslope	upslope	Antonym	0
impatience	patience	Antonym	0
nursery	high	Antonym	0
precede	succeed	Antonym	0
studious	unstudious	Antonym	0
outdate	update	Antonym	0
favorable	bad	Antonym	0
hypolobulated	hyperlobulated	Antonym	0
polygyny	monogamy	Antonym	0
smart	ignorant	Antonym	0
recent	time	Antonym	0
prime formula	compound formula	Antonym	0
anti misogyny	misogyny	Antonym	0
foreword	last word	Antonym	0
community	anticommunity	Antonym	0
distinct	indistinct	Antonym	0
kill	alive	Antonym	0
false consciousness	class consciousness	Antonym	0
goodie	baddie	Antonym	0
lovesome	hatesome	Antonym	0
history	future record	Antonym	0
test	grade	Antonym	0
leg	arm	Antonym	0
humidifier	dehumidifier	Antonym	0
excusable	inexcusable	Antonym	0
overtly	covertly	Antonym	0
few	lots of	Antonym	0
liquid	solid	Antonym	0
window	door	Antonym	0
connect	disconnect	Antonym	0
de re	de dicto	Antonym	0
helpable	unhelpable	Antonym	0
ab extra	ab intra	Antonym	0
isosyllabicity	anisosyllabism	Antonym	0
graceful	graceless	Antonym	0
birthday	night	Antonym	0
citify	countrify	Antonym	0
athletic shoe	dress shoe	Antonym	0
hard	agreeable	Antonym	0
secular	eternal	Antonym	0
buckle	unbuckle	Antonym	0
displeasure	ease	Antonym	0
sweet	lame	Antonym	0
atheophobe	religiophobe	Antonym	0
insignificance	significance	Antonym	0
lyophobe	lyophilic	Antonym	0
carbonated	uncarbonated	Antonym	0
unspoilt	spoilt	Antonym	0
dozen	few	Antonym	0
attestable	conjectural	Antonym	0
epigraph	hypograph	Antonym	0
plug out	plug in	Antonym	0
deruralization	ruralization	Antonym	0
yes	nay	Antonym	0
untruth	truth	Antonym	0
name	pseudonym	Antonym	0
unverifiableness	verifiableness	Antonym	0
keep	lose	Antonym	0
polytonic	monotonic	Antonym	0
peated	unpeated	Antonym	0
rear window	windshield	Antonym	0
escape	capture	Antonym	0
roughness	smoothness	Antonym	0
worse off	better off	Antonym	0
chick flick	action adventure	Antonym	0
dehumidifier	humidifier	Antonym	0
vernacular	lingua franca	Antonym	0
ranch	urban	Antonym	0
i'm afraid so	i'm afraid not	Antonym	0
obscurity	clarity	Antonym	0
condense	extend	Antonym	0
china	japan	Antonym	0
deconstructable	undeconstructable	Antonym	0
irreverence	reverence	Antonym	0
poison	healing	Antonym	0
salt	vinegar	Antonym	0
negativeness	positiveness	Antonym	0
small time	big time	Antonym	0
ardor	apathy	Antonym	0
upbeat	downbeat	Antonym	0
preprocessing	postprocessing	Antonym	0
mutator	accessor	Antonym	0
selfishness	selflessness	Antonym	0
inadmissibility	admissibility	Antonym	0
lemon	limes	Antonym	0
wood	lumber	Antonym	0
floor	sky	Antonym	0
polygyny	oligogyny	Antonym	0
banal	original	Antonym	0
rememberer	forgetter	Antonym	0
nonpotable	potable	Antonym	0
unactivatable	activatable	Antonym	0
vulnerable	vulnerability	Antonym	0
preserve	waste	Antonym	0
near miss	direct hit	Antonym	0
internationalism	nationalism	Antonym	0
filthy rich	dirt poor	Antonym	0
off duty	on duty	Antonym	0
blessed	contemn	Antonym	0
deposit	withdraw	Antonym	0
ungettable	gettable	Antonym	0
angerless	angry	Antonym	0
alone	people	Antonym	0
allocentric	autocentric	Antonym	0
character	person	Antonym	0
left footedness	right footedness	Antonym	0
round	flat	Antonym	0
reading	watching	Antonym	0
concrete	discrete	Antonym	0
dwarf	giant	Antonym	0
materialism	idealism	Antonym	0
immortality	can	Antonym	0
antifibrotic	profibrotic	Antonym	0
traffic beam	country beam	Antonym	0
recently	long since	Antonym	0
shade	bright	Antonym	0
talk	being quiet	Antonym	0
useful	useless	Antonym	0
exogamous	endogamous	Antonym	0
factory	company	Antonym	0
afferent	efferent	Antonym	0
landline	cellular telephone	Antonym	0
shutdown	startup	Antonym	0
monophagous	polyphagous	Antonym	0
inflationary	deflationary	Antonym	0
original	remake	Antonym	0
patriarch	matriarch	Antonym	0
rise	sunset	Antonym	0
disdainful	respectful	Antonym	0
imperfectly	perfectly	Antonym	0
dynamical	statical	Antonym	0
relevant	irrelevant	Antonym	0
even	uneven	Antonym	0
phile	phobe	Antonym	0
legatee	heir at law	Antonym	0
out turn	in turn	Antonym	0
poison	medicine	Antonym	0
shake	rattle	Antonym	0
inapposite	apposite	Antonym	0
on guard	off guard	Antonym	0
provide	take	Antonym	0
commence	stop	Antonym	0
understandable	inexcusable	Antonym	0
tarnish	polish	Antonym	0
accretion	erosion	Antonym	0
translatableness	intranslatability	Antonym	0
unavailability	availability	Antonym	0
oil	water	Antonym	0
summer	cold	Antonym	0
back	veer	Antonym	0
compete	cooperate	Antonym	0
diabatic	counterdiabatic	Antonym	0
underrated	overrated	Antonym	0
run	stand still	Antonym	0
flawless	disfigured	Antonym	0
sewer	ground	Antonym	0
anti slavery	pro slavery	Antonym	0
scarce	available	Antonym	0
downward spiral	rebound	Antonym	0
intraganglionic	interganglionic	Antonym	0
southside	northside	Antonym	0
squirrel	rodent	Antonym	0
escape	being caught	Antonym	0
taste	sight	Antonym	0
permabear	permabull	Antonym	0
disrotatory	conrotatory	Antonym	0
call by reference	call by value	Antonym	0
sale	buy	Antonym	0
slope	straight	Antonym	0
forth	back	Antonym	0
reply	receive	Antonym	0
macrophysiology	microphysiology	Antonym	0
enjoy	hate	Antonym	0
paraphilia	normophilia	Antonym	0
lie	statement	Antonym	0
grip	blade	Antonym	0
audience	performers	Antonym	0
extrinsic	intrinsic	Antonym	0
closet	out	Antonym	0
polysemous	univocal	Antonym	0
compilable	uncompilable	Antonym	0
perishable	unperishable	Antonym	0
second imperative	first imperative	Antonym	0
continent	australia	Antonym	0
infrequently	often	Antonym	0
erratic	consistent	Antonym	0
deskin	enskin	Antonym	0
earth	water	Antonym	0
demonstrable	undemonstrable	Antonym	0
sit	stand	Antonym	0
aliovalent	isovalent	Antonym	0
bell	honk	Antonym	0
character	dull	Antonym	0
door	window	Antonym	0
corn	agricultural seed	Antonym	0
claim	give back	Antonym	0
on clock	off clock	Antonym	0
proneness	supineness	Antonym	0
republic	monarchy	Antonym	0
short sighted	far sighted	Antonym	0
guard	unprotected	Antonym	0
scream	remain silent	Antonym	0
crowd	lone person	Antonym	0
antisocial	social	Antonym	0
homodiploid	heterodiploid	Antonym	0
corn	yellow	Antonym	0
femme fatale	ingenue	Antonym	0
inoppugnable	dubious	Antonym	0
old yishuv	new yishuv	Antonym	0
probabilistic	deterministic	Antonym	0
many	one	Antonym	0
retrograde	prograde	Antonym	0
lack	possess	Antonym	0
hitter's count	pitcher's count	Antonym	0
unquantified	quantified	Antonym	0
ingratitude	gratitude	Antonym	0
company	three crowd	Antonym	0
bad breath	good breath	Antonym	0
amelioration	nerf	Antonym	0
mortality	eternality	Antonym	0
derogative	deferential	Antonym	0
auxiliary verb	modal verb	Antonym	0
god	satan	Antonym	0
near	remote	Antonym	0
edge	corner	Antonym	0
free living organism	parasite	Antonym	0
power on	power off	Antonym	0
staccato	legato	Antonym	0
flatscreen	roundscreen	Antonym	0
emulsify	de emulsify	Antonym	0
blackfaced	whitefaced	Antonym	0
low maintenance	high maintenance	Antonym	0
brainiac	ignoramus	Antonym	0
positive	nonpositive	Antonym	0
know	ignorant	Antonym	0
invadable	uninvadable	Antonym	0
retrogradely	anterogradely	Antonym	0
head	point	Antonym	0
obtuse angled	acute	Antonym	0
move	standing still	Antonym	0
egoistical	altruistic	Antonym	0
aerobiosis	anaerobiosis	Antonym	0
statue	painting	Antonym	0
case insensitive	case sensitive	Antonym	0
luster	dullness	Antonym	0
lay	stand	Antonym	0
calm	stormy	Antonym	0
levogyre	dextrogyre	Antonym	0
thick	thin	Antonym	0
anisotropy	isotropy	Antonym	0
inception	end	Antonym	0
tumah	taharah	Antonym	0
underdog	sure bet	Antonym	0
denial	admit	Antonym	0
disobedience	obedience	Antonym	0
win	lost	Antonym	0
generate	erase	Antonym	0
leave	stay	Antonym	0
freeway	turnpike	Antonym	0
wet	dry	Antonym	0
monsoon	dry	Antonym	0
bow	poop	Antonym	0
well formed	ill formed	Antonym	0
okey dokey smokey	no way jose	Antonym	0
final	early	Antonym	0
thrifty	spendthrift	Antonym	0
extant	extinct	Antonym	0
speaker	addressee	Antonym	0
time	space	Antonym	0
small	big	Antonym	0
men	gods	Antonym	0
reactively	proactively	Antonym	0
unnoticed	noticed	Antonym	0
snow	hot	Antonym	0
dispose	disincline	Antonym	0
long sighted	near sighted	Antonym	0
arrogation	abandonment	Antonym	0
foregame	aftergame	Antonym	0
apocenter	pericenter	Antonym	0
softcore	hardcore	Antonym	0
genderless	gendered	Antonym	0
nontroublesome	troublesome	Antonym	0
originate	end	Antonym	0
perfunctory	thoughtful	Antonym	0
conservation	expenditure	Antonym	0
rap	country	Antonym	0
implicit	explicit	Antonym	0
dignify	mortify	Antonym	0
hi tech	low tech	Antonym	0
spendthrift	frugal	Antonym	0
fellow	lass	Antonym	0
jbod	raid	Antonym	0
absolute	relative	Antonym	0
full handed	empty handed	Antonym	0
clean	filthy	Antonym	0
haplostemonous	obhaplostemonous	Antonym	0
quick tempered	even tempered	Antonym	0
marriage	divorce	Antonym	0
potato chaser	rice chaser	Antonym	0
unmelted	melted	Antonym	0
unseasonable	seasonable	Antonym	0
one way	round trip	Antonym	0
run	still	Antonym	0
photomorphogenesis	skotomorphogenesis	Antonym	0
now	before	Antonym	0
abjectly	proudly	Antonym	0
short	tall	Antonym	0
unfavorable	favorable	Antonym	0
dissavings	savings	Antonym	0
noncollinearity	collinearity	Antonym	0
awesome sauce	fail	Antonym	0
breakfast	dinner	Antonym	0
hypothetical	categorical	Antonym	0
page	spine	Antonym	0
lay off	hire	Antonym	0
youth	elder	Antonym	0
undodgeable	evitable	Antonym	0
mortal	immortal	Antonym	0
average	extreme	Antonym	0
halalization	haramization	Antonym	0
adsorbent	nonadsorbent	Antonym	0
alleviable	unalleviable	Antonym	0
treat	trick or	Antonym	0
altruistically	egoistically	Antonym	0
outstanding	mediocre	Antonym	0
champion	loser	Antonym	0
condemn	acquit	Antonym	0
propel	rest	Antonym	0
defective	complete	Antonym	0
keep	let go	Antonym	0
candidate	elected	Antonym	0
faulty	faultless	Antonym	0
non sequitur	sequitur	Antonym	0
servant	ruler	Antonym	0
shear thickening	shear thinning	Antonym	0
paint	thinner	Antonym	0
patrollable	unpatrollable	Antonym	0
governmentalize	privatize	Antonym	0
excellent	poor performance	Antonym	0
acidify	basify	Antonym	0
indistinguishability	distinguishability	Antonym	0
meat	vegetables	Antonym	0
eclectic	exclusive	Antonym	0
negentropy	entropy	Antonym	0
clean	dirty	Antonym	0
structure	disorganized	Antonym	0
monosemous	polysemic	Antonym	0
inclusionist	exclusionist	Antonym	0
sneeze	yawn	Antonym	0
northern	meridional	Antonym	0
news	information	Antonym	0
wrecker	builder	Antonym	0
pessimism	optimism	Antonym	0
room	hallway	Antonym	0
manhood	womanhood	Antonym	0
nonfactual	factual	Antonym	0
third worlder	first worlder	Antonym	0
hill	field	Antonym	0
approve	disapprove	Antonym	0
flightless	flighted	Antonym	0
thick	slim	Antonym	0
exophagic	endophagic	Antonym	0
young	aged	Antonym	0
last	first	Antonym	0
drain	fill up	Antonym	0
preserve	destroy	Antonym	0
softness	hardness	Antonym	0
incest	outbreeding	Antonym	0
view	sight	Antonym	0
president	monarch	Antonym	0
rightist	left winger	Antonym	0
dignify	shame	Antonym	0
point	flex	Antonym	0
little	lot of	Antonym	0
uninspiring	inspiring	Antonym	0
epicentre	hypocentre	Antonym	0
beneath	over	Antonym	0
euphonious	cacophonous	Antonym	0
unmodified	modified	Antonym	0
security through obscurity	security by design	Antonym	0
x mark	checkmark	Antonym	0
below	above	Antonym	0
attempt	give	Antonym	0
corner	straight	Antonym	0
prohibition	permission	Antonym	0
open minded	close minded	Antonym	0
costless	costful	Antonym	0
historied	historyless	Antonym	0
talk	sit silently	Antonym	0
insolvency	solvency	Antonym	0
ring up curtain	ring down curtain	Antonym	0
qualified	non qualified	Antonym	0
wall	floor	Antonym	0
fall	ascent	Antonym	0
rap	classical	Antonym	0
aliyah	yerida	Antonym	0
outcross	inbreed	Antonym	0
lower case	upper case	Antonym	0
rear guard	avant garde	Antonym	0
portrait	profile	Antonym	0
unobvious	obvious	Antonym	0
irreducible	unincreasable	Antonym	0
hardware	software	Antonym	0
untie	tie	Antonym	0
aftersee	foresee	Antonym	0
unalike	alike	Antonym	0
deflavorize	flavorize	Antonym	0
baddie	goodie	Antonym	0
marry	divorce	Antonym	0
glabrous	hirsute	Antonym	0
capital loss	capital gain	Antonym	0
enough	little	Antonym	0
christmas	cat	Antonym	0
prototype based programming	class based programming	Antonym	0
cover	leave open	Antonym	0
note	chord	Antonym	0
elastic collision	inelastic collision	Antonym	0
forest	desert	Antonym	0
disloyal	loyal	Antonym	0
offensive	inoffensive	Antonym	0
against	for	Antonym	0
cluefulness	cluelessness	Antonym	0
managed code	unmanaged code	Antonym	0
fair	unfair	Antonym	0
polygyny	monogyny	Antonym	0
deasserted	asserted	Antonym	0
diagonal	backslash	Antonym	0
unusual	normal	Antonym	0
damaged	complete	Antonym	0
philandrist	philogynist	Antonym	0
consolation	first prize	Antonym	0
trivialize	exaggerate	Antonym	0
type erasure	type inference	Antonym	0
hypothesis	goal	Antonym	0
obscure	known	Antonym	0
futile	effective	Antonym	0
abapical	apical	Antonym	0
rich	lean	Antonym	0
already	yet	Antonym	0
stockable	unstockable	Antonym	0
say	keep	Antonym	0
capital	case	Antonym	0
joy	bad time	Antonym	0
outerweb	innerweb	Antonym	0
attack	cease	Antonym	0
untag	tag	Antonym	0
legible	unreadable	Antonym	0
wash	being	Antonym	0
anticlockwise	clockwise	Antonym	0
menorrhagia	oligomenorrhea	Antonym	0
yimby	nimby	Antonym	0
motion	standing	Antonym	0
ethereality	materiality	Antonym	0
get on	alight	Antonym	0
kill	birth	Antonym	0
division	unity	Antonym	0
neurotypical	neurodivergent	Antonym	0
kindless	kindful	Antonym	0
romanophobe	romanophile	Antonym	0
unkeen	keen	Antonym	0
dictionary	encyclopedia	Antonym	0
chastity	lust	Antonym	0
authentic	unauthentic	Antonym	0
accelerate	retard	Antonym	0
left join	right join	Antonym	0
rhymable	rhymeless	Antonym	0
behind	in front	Antonym	0
take	bring	Antonym	0
energy	weakness	Antonym	0
non terminal	terminal	Antonym	0
considerately	inconsiderately	Antonym	0
alacrity	apathy	Antonym	0
dim	brightly lit	Antonym	0
eat	drinking	Antonym	0
cheaply	expensively	Antonym	0
fuckable	unfuckable	Antonym	0
demand	ask nicely	Antonym	0
deprive	enrich	Antonym	0
negligibly	importantly	Antonym	0
downstyle	upstyle	Antonym	0
lessor	lessee	Antonym	0
stigmatize	destigmatize	Antonym	0
recalcitrant	compliant	Antonym	0
underfiring	overfiring	Antonym	0
main bitch	side bitch	Antonym	0
postnuptial	prenuptial	Antonym	0
interested	disinterested	Antonym	0
imitate	create	Antonym	0
dubitable	indubitable	Antonym	0
dodgeable	inevitable	Antonym	0
scale up	scale down	Antonym	0
resist	submit	Antonym	0
talk	silently	Antonym	0
once	lot	Antonym	0
translatable	untranslatable	Antonym	0
great grandson	great granddaughter	Antonym	0
coherence	incoherence	Antonym	0
adverb	adjective	Antonym	0
crescendo	climax	Antonym	0
inegalitarian	equalitarian	Antonym	0
deny	allow	Antonym	0
card	announcement	Antonym	0
undertone	accent	Antonym	0
down	across	Antonym	0
house	apartment	Antonym	0
glad	peevish	Antonym	0
shaker	stirrer	Antonym	0
city	town	Antonym	0
supernatural	ordinary	Antonym	0
deciduous tree	evergreen	Antonym	0
abstract noun	concrete noun	Antonym	0
cooperative	competitive	Antonym	0
may	april	Antonym	0
humanly	inhumanly	Antonym	0
shipperhood	noromoness	Antonym	0
chord	discord	Antonym	0
big endian	little endian	Antonym	0
clockwise	counterclockwise	Antonym	0
success	failure	Antonym	0
safe	baseballs	Antonym	0
imagination	real	Antonym	0
homoeroticism	heteroeroticism	Antonym	0
unpleasantry	pleasantry	Antonym	0
trotskyite	stalinist	Antonym	0
gray	bright	Antonym	0
categorizable	noncategorizable	Antonym	0
afterdeal	foredeal	Antonym	0
napkin	cloth	Antonym	0
expect	surprise	Antonym	0
privately	publicly	Antonym	0
poet	novelist	Antonym	0
rechurch	unchurch	Antonym	0
condemn	save	Antonym	0
effect	cause	Antonym	0
defeat	victory	Antonym	0
division	putting	Antonym	0
man	girl	Antonym	0
imaginable	unimaginable	Antonym	0
hypernatremia	hyponatremia	Antonym	0
soft	sensible	Antonym	0
microfibrous	macrofibrous	Antonym	0
voice	mute	Antonym	0
illiberal	liberal	Antonym	0
value	belittle	Antonym	0
chromatophobia	chromatophilia	Antonym	0
corporation	proprietorship	Antonym	0
radication	eradication	Antonym	0
servant	person	Antonym	0
dynamic language	static language	Antonym	0
ungenuine	real	Antonym	0
ultrasonic	infrasonic	Antonym	0
reply	mute	Antonym	0
act	real	Antonym	0
blasphemy	reverence	Antonym	0
miss	hit	Antonym	0
genuine	fake	Antonym	0
expressable	inexpressable	Antonym	0
subcategory	supercategory	Antonym	0
cataphatic	apophatic	Antonym	0
customary	unaccustomed	Antonym	0
satisfaction	unhappy	Antonym	0
good natured	bad natured	Antonym	0
high end	lo fi	Antonym	0
pure mathematics	applied mathematics	Antonym	0
unimaginatively	imaginatively	Antonym	0
fidelity	infidelity	Antonym	0
weather	sunny	Antonym	0
sphaera recta	sphaera obliqua	Antonym	0
gruntled	disgruntled	Antonym	0
hot	neutral	Antonym	0
autonym	exonym	Antonym	0
sentient	insensate	Antonym	0
never	consistently	Antonym	0
standing end	working end	Antonym	0
specialization	abstraction	Antonym	0
product	service	Antonym	0
pinay	pinoy	Antonym	0
wild cat	domestic cat	Antonym	0
lofty	mean	Antonym	0
wash	making dirty	Antonym	0
dextrosinistral	sinistrodextral	Antonym	0
hawk	dove	Antonym	0
softhearted	hardhearted	Antonym	0
overdiagnosed	underdiagnosed	Antonym	0
local	far away	Antonym	0
aggregatable	unaggregatable	Antonym	0
visibly	invisibly	Antonym	0
eunatremic	dysnatremic	Antonym	0
homoerotic	heteroerotic	Antonym	0
reproducible	irreproducible	Antonym	0
chic	unstylish	Antonym	0
ocnophil	philobat	Antonym	0
in phase	out of phase	Antonym	0
attractive	repulsive	Antonym	0
downtone	intensify	Antonym	0
disequalization	equalization	Antonym	0
functional	non functional	Antonym	0
traditional	nontraditional	Antonym	0
ridiculous	straightforward	Antonym	0
neurotypical	neuroatypical	Antonym	0
necrophilia	necrophobia	Antonym	0
profit	cash	Antonym	0
passion	apathy	Antonym	0
mergeable	divisible	Antonym	0
rigidity	flexibility	Antonym	0
anxiogenic	anxiolytic	Antonym	0
exoenergetic	endoenergetic	Antonym	0
shipper	noromo	Antonym	0
warring	peaceful	Antonym	0
dextrogyre	levogyre	Antonym	0
brexiter	remainiac	Antonym	0
alone	in crowd	Antonym	0
hypoammonemia	hyperammonaemia	Antonym	0
feminine	masculine	Antonym	0
